
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      65752, Nsync-hyd:      65752
Sync-Point 95, Time: 0.650391, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       9734

Sync-Point 96, Time: 0.65332, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       2794

Sync-Point 97, Time: 0.65625, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 98, Time: 0.65918, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       3116

Sync-Point 99, Time: 0.662109, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      10524

Sync-Point 100, Time: 0.665039, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       3485

Sync-Point 101, Time: 0.667969, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 102, Time: 0.670898, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       3861

Sync-Point 103, Time: 0.673828, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      11335

Sync-Point 104, Time: 0.676758, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       4301

Sync-Point 105, Time: 0.679688, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 106, Time: 0.682617, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       4703

Sync-Point 107, Time: 0.685547, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      12115

Sync-Point 108, Time: 0.688477, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       5133

Sync-Point 109, Time: 0.691406, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 110, Time: 0.694336, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       5584

Sync-Point 111, Time: 0.697266, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      13017

Sync-Point 112, Time: 0.700195, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       6035

Sync-Point 113, Time: 0.703125, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 114, Time: 0.706055, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       6498

Sync-Point 115, Time: 0.708984, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      13910

Sync-Point 116, Time: 0.711914, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       7020

Sync-Point 117, Time: 0.714844, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 118, Time: 0.717773, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       7493

Sync-Point 119, Time: 0.720703, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      14859

Sync-Point 120, Time: 0.723633, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       8007

Sync-Point 121, Time: 0.726562, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 122, Time: 0.729492, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       8497

Sync-Point 123, Time: 0.732422, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      15774

Sync-Point 124, Time: 0.735352, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       9092

Sync-Point 125, Time: 0.738281, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 126, Time: 0.741211, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       9599

Sync-Point 127, Time: 0.744141, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      16810

Sync-Point 128, Time: 0.74707, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      10187

Sync-Point 129, Time: 0.75, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 130, Time: 0.75293, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      10762

Sync-Point 131, Time: 0.755859, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:      17845

Sync-Point 132, Time: 0.757324, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:          3

Sync-Point 133, Time: 0.758789, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      11338

Sync-Point 134, Time: 0.760254, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:          6

Sync-Point 135, Time: 0.761719, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 136, Time: 0.763184, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:         11

Sync-Point 137, Time: 0.764648, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      11922

Sync-Point 138, Time: 0.766113, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:         24

Sync-Point 139, Time: 0.767578, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      18962

Sync-Point 140, Time: 0.769043, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:         42

Sync-Point 141, Time: 0.770508, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      12541

Sync-Point 142, Time: 0.771973, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:         61

Sync-Point 143, Time: 0.773438, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 144, Time: 0.774902, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:         91

Sync-Point 145, Time: 0.776367, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      13173

Sync-Point 146, Time: 0.777832, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:        167

